# Comparing packages installed on Amazon Linux 2023 Images
# https://docs.aws.amazon.com/en_us/linux/al2023/ug/image-comparison.html
# Excluded: amazon-linux-repo-s3 coreutils grub2-efi-aa64-ec2 grub2-efi-x64-ec2 microcode_ctl
Package                          AMI              Minimal AMI      Container       Install?
systemtap-runtime                4.8              -                -               YES
tar                              1.34             1.34             -               YES
tbb                              2020.3           -                -               YES
tcpdump                          4.99.1           -                -               YES
tcsh                             6.24.07          -                -               YES
time                             1.9              -                -               YES
traceroute                       2.1.3            -                -               YES
tzdata                           2024a            2024a            2024a           NO
unzip                            6                -                -               YES
update-motd                      2.2              2.2              -               YES
userspace-rcu                    0.12.1           0.12.1           -               YES
util-linux                       2.37.4           2.37.4           -               YES
util-linux-core                  2.37.4           2.37.4           -               YES
vim-common                       9.0.2153         -                -               YES
vim-data                         9.0.2153         9.0.2153         -               YES
vim-enhanced                     9.0.2153         -                -               YES
vim-filesystem                   9.0.2153         -                -               YES
vim-minimal                      9.0.2153         9.0.2153         -               YES
wget                             1.21.3           -                -               YES
which                            2.21             2.21             -               YES
words                            3                -                -               YES
xfsdump                          3.1.11           -                -               YES
xfsprogs                         5.18.0           5.18.0           -               YES
xxd                              9.0.2153         -                -               YES
xxhash-libs                      0.8.0            -                -               YES
xz                               5.2.5            5.2.5            -               YES
xz-libs                          5.2.5            5.2.5            5.2.5           NO
yum                              4.14.0           4.14.0           4.14.0          NO
zip                              3                -                -               YES
zlib                             1.2.11           1.2.11           1.2.11          NO
zram-generator                   1.1.2            1.1.2            -               YES
zram-generator-defaults          1.1.2            1.1.2            -               YES
zstd                             1.5.5            1.5.5            -               YES
